id,frequency,last_donation,blood_group,sex,distance
41623,3.91,92,B+,M,16
41706,3.91,62,A+,M,16
41716,3.91,27,B-,M,22
41734,3.91,31,A+,M,6
41803,3.91,95,B-,M,6
42107,3.91,40,0+,M,8
42265,3.91,9,0+,M,26
42409,3.91,34,A-,M,25
42539,3.91,72,AB-,M,3
43211,3.91,46,B+,M,27
43286,3.91,17,B-,M,6
43379,3.91,68,0+,M,22
43541,3.91,62,B-,M,11
43786,3.91,32,0+,M,30
43898,3.91,50,B+,M,16
43955,3.91,28,0+,M,14
40472,3.90,38,0+,M,16
40503,3.90,18,B-,M,2
40530,3.90,68,0+,M,0
40765,3.90,99,A+,M,10
40814,3.90,1,A-,M,7
40829,3.90,42,A+,M,3
40957,3.90,30,B-,M,27
41086,3.90,95,AB-,M,6
41344,3.90,42,B+,M,25
41386,3.90,29,A+,M,28
41531,3.90,14,0-,M,7
41632,3.90,78,0+,M,19
41801,3.90,116,B+,M,6
42068,3.90,9,0+,M,25
42091,3.90,67,A+,M,29
42149,3.90,80,A+,M,11
42282,3.90,29,A-,M,18
42329,3.90,42,A+,M,21
42371,3.90,64,B+,M,11
42419,3.90,66,B-,M,5
42420,3.90,47,0+,M,5
42517,3.90,15,A+,M,13
42606,3.90,55,AB+,M,9
42681,3.90,64,0+,M,16
42872,3.90,52,A+,M,6
42964,3.90,17,0-,M,10
43026,3.90,99,0+,M,29
43183,3.90,87,A-,M,16
43248,3.90,21,A+,M,8
43299,3.90,8,A+,M,30
43309,3.90,4,0-,M,0
43434,3.90,21,0+,M,21
43599,3.90,100,A-,M,17
43804,3.90,90,0+,M,21
43888,3.90,98,A+,M,0
43930,3.90,95,0-,M,17
43932,3.90,78,0+,M,16
43994,3.90,112,AB+,M,19
44101,3.90,108,A+,M,25
44479,3.90,89,A+,M,24
44542,3.90,53,0+,M,11
44718,3.90,52,0+,M,11
44812,3.90,44,AB-,M,0
40594,3.89,100,0-,M,23
40620,3.89,58,B-,M,9
40860,3.89,88,A-,M,0
41031,3.89,41,A+,M,20
41165,3.89,46,A+,M,15
41280,3.89,26,A-,M,7
41401,3.89,70,A-,M,19
41455,3.89,111,0+,M,17
41689,3.89,108,A-,M,5
41747,3.89,101,A-,M,0
41817,3.89,79,0+,M,5
41913,3.89,72,A+,M,9
41917,3.89,44,0+,M,16
41920,3.89,76,0-,M,9
41974,3.89,73,0+,M,6
42172,3.89,38,B+,M,14
42313,3.89,90,0+,M,23
42524,3.89,57,B+,M,24
42725,3.89,95,0+,M,13
42747,3.89,112,0+,M,18
43013,3.89,97,A+,M,0
43133,3.89,77,0+,M,19
43369,3.89,29,A+,M,11
43454,3.89,86,0+,M,10
43526,3.89,60,0+,M,3
43554,3.89,70,0+,M,0
43556,3.89,55,A-,M,0
43618,3.89,41,0+,M,6
43633,3.89,28,0+,M,19
43964,3.89,5,B+,M,13
44012,3.89,30,0+,M,6
44089,3.89,56,0+,M,7
44133,3.89,43,0+,M,0
44143,3.89,106,0+,M,17
44154,3.89,88,A-,M,29
44160,3.89,54,B-,M,15
44234,3.89,33,B-,M,23
44293,3.89,9,A+,M,2
44342,3.89,25,0+,M,21
44468,3.89,112,A+,M,13
44724,3.89,59,A+,M,21
40436,3.88,54,0+,M,4
40576,3.88,46,A-,M,13
40779,3.88,84,0-,M,9
40823,3.88,35,0-,M,2
41020,3.88,98,0+,M,4
41247,3.88,25,0+,M,1
41274,3.88,65,0+,M,23
41522,3.88,91,B-,M,24
41540,3.88,98,A-,M,16
41719,3.88,64,0+,M,28
